"adm1","adm2","hf","month","year","test","test_u5","test_ov5","test_rdt","test_rdt_u5","test_rdt_ov5","test_mic","test_mic_u5","test_mic_ov5","conf","conf_u5","conf_ov5","conf_rdt","conf_rdt_u5","conf_rdt_ov5","conf_mic","conf_mic_u5","conf_mic_ov5"
"Central","Laoye",1,"Jan",2018,275,131,144,244,129,115,31,16,15,165,67,98,162,66,96,3,1,2
"Central","Laoye",1,"Feb",2018,239,115,124,202,113,89,37,21,16,115,47,68,114,47,67,1,0,1
"Central","Laoye",1,"Mar",2018,355,165,190,286,161,125,69,39,30,291,121,170,285,120,165,6,3,3
"Central","Laoye",1,"Apr",2018,239,114,125,195,111,84,44,25,19,126,60,66,122,59,63,4,2,2
"Central","Laoye",1,"May",2018,374,179,195,309,174,135,65,37,28,243,111,132,239,110,129,4,2,2
"Central","Laoye",1,"Jun",2018,543,250,293,427,244,183,116,66,50,272,115,157,265,114,151,7,3,4
"Central","Laoye",1,"Jul",2018,330,154,176,298,152,146,32,16,16,247,101,146,244,100,144,3,1,2
"Central","Laoye",1,"Aug",2018,171,77,94,157,76,81,14,7,7,155,54,101,154,54,100,1,0,1
"Central","Laoye",1,"Sep",2018,858,384,474,785,381,404,73,35,38,682,237,445,675,236,439,7,2,5
"Central","Laoye",1,"Oct",2018,768,339,429,746,332,414,22,10,12,563,178,385,553,175,378,10,3,7
"Central","Laoye",1,"Nov",2018,774,351,423,764,347,417,10,5,5,576,190,386,569,189,380,7,2,5
"Central","Laoye",1,"Dec",2018,354,166,188,307,163,144,47,25,22,259,102,157,256,101,155,3,1,2
"East","Gakingo",2,"Jan",2018,42,21,21,33,21,12,9,6,3,36,19,17,35,18,17,1,1,0
"East","Gakingo",2,"Feb",2018,70,35,35,56,35,21,14,9,5,38,18,20,38,18,20,0,0,0
"East","Gakingo",2,"Mar",2018,224,113,111,176,112,64,48,31,17,112,53,59,110,53,57,2,1,1
"East","Gakingo",2,"Apr",2018,115,57,58,91,57,34,24,15,9,35,15,20,34,16,18,1,0,1
"East","Gakingo",2,"May",2018,257,128,129,195,128,67,62,41,21,107,48,59,105,48,57,2,1,1
"East","Gakingo",2,"Jun",2018,604,300,304,466,299,167,138,89,49,226,110,116,221,110,111,5,2,3
"East","Gakingo",2,"Jul",2018,178,87,91,132,87,45,46,30,16,101,58,43,100,58,42,1,1,0
"East","Gakingo",2,"Aug",2018,1121,538,583,817,538,279,304,200,104,960,451,509,950,451,499,10,5,5
"East","Gakingo",2,"Sep",2018,311,155,156,238,155,83,73,47,26,203,106,97,199,106,93,4,2,2
"East","Gakingo",2,"Oct",2018,923,460,463,615,460,155,308,231,77,710,359,351,700,359,341,10,5,5
"East","Gakingo",2,"Nov",2018,354,177,177,248,176,72,106,75,31,299,147,152,291,147,144,8,4,4
"East","Gakingo",2,"Dec",2018,592,296,296,430,293,137,162,110,52,451,232,219,444,232,212,7,4,3
"Central","Yagoloko",3,"Jan",2018,209,92,117,149,87,62,60,35,25,187,72,115,165,68,97,22,9,13
"Central","Yagoloko",3,"Feb",2018,482,231,251,418,221,197,64,34,30,395,137,258,365,129,236,30,11,19
"Central","Yagoloko",3,"Mar",2018,201,94,107,160,89,71,41,23,18,133,49,84,121,45,76,12,5,7
"Central","Yagoloko",3,"Apr",2018,221,104,117,177,100,77,44,25,19,171,77,94,161,74,87,10,5,5
"Central","Yagoloko",3,"May",2018,175,86,89,138,84,54,37,22,15,142,62,80,135,61,74,7,3,4
"Central","Yagoloko",3,"Jun",2018,516,241,275,400,226,174,116,66,50,144,63,81,131,59,72,13,6,7
"Central","Yagoloko",3,"Jul",2018,423,194,229,351,187,164,72,38,34,272,91,181,264,89,175,8,3,5
"Central","Yagoloko",3,"Aug",2018,962,434,528,925,427,498,37,17,20,646,217,429,629,214,415,17,6,11
"Central","Yagoloko",3,"Sep",2018,745,332,413,700,324,376,45,21,24,506,153,353,487,150,337,19,6,13
"Central","Yagoloko",3,"Oct",2018,360,146,214,360,142,218,0,0,0,295,70,225,282,68,214,13,3,10
"Central","Yagoloko",3,"Nov",2018,377,163,214,370,153,217,7,3,4,266,77,189,248,72,176,18,5,13
